 SELECT * FROM visa_data WHERE email LIKE '%.org';
 id  | first_name | last_name  |              email              | gender  | date_of_birth | nationality 
-----+------------+------------+---------------------------------+---------+---------------+-------------
   1 | Trent      | Ducarne    | tducarne0@slashdot.org          | Male    | 2004-02-25    | Paraguay
   7 | Fanni      | Kedslie    | fkedslie6@slashdot.org          | Female  | 2018-10-30    | Ukraine
  25 | Weylin     | Chadburn   | wchadburno@pbs.org              | Male    | 2013-05-13    | Ukraine
  36 | Halley     | Roggers    | hroggersz@archive.org           | Female  | 2021-07-02    | Uganda
  38 | Gelya      | Sixsmith   | gsixsmith11@drupal.org          | Female  | 2013-12-08    | Philippines
  44 | Cherrita   | Tomashov   | ctomashov17@wordpress.org       | Female  | 2004-12-19    | China
  62 | Morena     | Baldacchi  | mbaldacchi1p@gmpg.org           | Female  | 2005-04-18    | Vietnam
  75 | Mignon     | Bedson     | mbedson22@joomla.org            | Agender | 2021-10-19    | Philippines
 103 | Irene      | Alennikov  | ialennikov2u@craigslist.org     | Female  | 2000-01-28    | Russia
 115 | Tanney     | Gogie      | tgogie36@unicef.org             | Male    | 2025-05-20    | Myanmar
 136 | Hermione   | Tilliard   | htilliard3r@creativecommons.org | Female  | 2012-12-03    | Italy
 162 | Dreddy     | Le Monnier | dlemonnier4h@wikipedia.org      | Female  | 2024-10-30    | Indonesia
 188 | Anica      | Glencros   | aglencros57@wikipedia.org       | Female  | 2013-02-19    | Peru
 203 | Kleon      | Casely     | kcasely5m@altervista.org        | Male    | 2018-01-03    | Russia
 218 | Sol        | Bridson    | sbridson61@mozilla.org          | Male    | 2005-01-15    | Afghanistan
 231 | Waldon     | Defont     | wdefont6e@unesco.org            | Male    | 2009-08-06    | China
 254 | Barret     | Spick      | bspick71@networkadvertising.org | Male    | 2013-04-14    | Vanuatu
 278 | Giffie     | Winscom    | gwinscom7p@slashdot.org         | Male    | 2019-06-26    | China
 291 | Alexander  | Ackwood    | aackwood82@apache.org           | Male    | 2002-05-14    | Indonesia
(19 rows)


SELECT * FROM visa_data WHERE email LIKE '%google.%';
 id  | first_name |  last_name  |            email            | gender | date_of_birth | nationality 
-----+------------+-------------+-----------------------------+--------+---------------+-------------
   5 | Sonya      | Rosentholer | srosentholer4@google.com.br | Female | 2013-09-20    | Philippines
  12 | Evaleen    | Gulleford   | egullefordb@google.ru       | Female | 2013-07-01    | Ukraine
  31 | Lou        | Tatton      | ltattonu@google.com.au      | Male   | 2002-06-14    | Philippines
  58 | Tadd       | Stronge     | tstronge1l@google.com       | Male   | 2004-06-21    | China
  94 | Ceil       | Awcoate     | cawcoate2l@google.com.au    | Female | 2010-06-30    | Indonesia
  97 | Hewe       | Halbeard    | hhalbeard2o@google.com.au   | Male   | 2010-07-11    | Indonesia
 182 | Emili      | Housbey     | ehousbey51@google.co.jp     | Female | 2019-03-10    | Sweden
 239 | Chicky     | Barkes      | cbarkes6m@google.de         | Male   | 2016-12-13    | Bhutan
 244 | Orella     | Mogenot     | omogenot6r@google.es        | Female | 2006-07-27    | Slovenia
 246 | Ferne      | Pettingill  | fpettingill6t@google.nl     | Female | 2008-04-12    | Japan
 259 | Clarance   | Fuentes     | cfuentes76@google.ru        | Male   | 2015-04-28    | Ireland
 261 | Emilio     | Conachy     | econachy78@google.com.au    | Male   | 2000-10-16    | Poland
 279 | Tuck       | Hame        | thame7q@google.it           | Male   | 2007-10-02    | Netherlands
 282 | Wilmer     | Tappor      | wtappor7t@google.fr         | Male   | 2024-01-03    | Thailand
(14 rows)

SELECT * FROM visa_data WHERE email LIKE '_________@%';
 id  | first_name | last_name |             email              |   gender    | date_of_birth |      nationality      
-----+------------+-----------+--------------------------------+-------------+---------------+-----------------------
   1 | Trent      | Ducarne   | tducarne0@slashdot.org         | Male        | 2004-02-25    | Paraguay
   4 | Nadya      | Lippard   | nlippard3@rambler.ru           | Female      | 2000-02-18    | France
   7 | Fanni      | Kedslie   | fkedslie6@slashdot.org         | Female      | 2018-10-30    | Ukraine
  15 | Giulietta  | Coudray   | gcoudraye@so-net.ne.jp         | Female      | 2022-01-25    | France
  24 | Beaufort   | Bernade   | bbernaden@theatlantic.com      | Male        | 2017-05-31    | Indonesia
  29 | West       | Annetts   | wannettss@cbslocal.com         | Male        | 2015-03-18    | Poland
  30 | Elaine     | Macieja   | emaciejat@multiply.com         | Genderfluid | 2024-04-13    | Malawi
  32 | Barn       | Twamley   | btwamleyv@nbcnews.com          | Male        | 2004-01-23    | China
  34 | Ernesto    | Sanpher   | esanpherx@samsung.com          | Agender     | 2001-12-12    | Portugal
  36 | Halley     | Roggers   | hroggersz@archive.org          | Female      | 2021-07-02    | Uganda
  39 | Jenna      | Messum    | jmessum12@g.co                 | Female      | 2008-12-29    | Canada
  46 | Artur      | Arnell    | aarnell19@behance.net          | Male        | 2022-06-27    | Jamaica
  53 | Rosina     | Ewbank    | rewbank1g@istockphoto.com      | Female      | 2019-05-07    | China
  64 | Cathy      | Drable    | cdrable1r@arizona.edu          | Female      | 2020-07-31    | Poland
  67 | Humfrey    | Virgoe    | hvirgoe1u@smh.com.au           | Male        | 2012-04-11    | Croatia
  71 | Rosa       | Iseton    | riseton1y@freewebs.com         | Female      | 2022-02-27    | United States
  75 | Mignon     | Bedson    | mbedson22@joomla.org           | Agender     | 2021-10-19    | Philippines
