SELECT * FROM visa_data WHERE date_of_birth BETWEEN DATE '01-01-2004' AND '01-01-2020';
 id  |  first_name  |  last_name   |               email                |   gender    | date_of_birth |           nationality            
-----+--------------+--------------+------------------------------------+-------------+---------------+----------------------------------
   1 | Trent        | Ducarne      | tducarne0@slashdot.org             | Male        | 2004-02-25    | Paraguay
   2 | Charmine     | Samsworth    | csamsworth1@scientificamerican.com | Female      | 2006-05-12    | Russia
   5 | Sonya        | Rosentholer  | srosentholer4@google.com.br        | Female      | 2013-09-20    | Philippines
   7 | Fanni        | Kedslie      | fkedslie6@slashdot.org             | Female      | 2018-10-30    | Ukraine
  10 | Marie-jeanne | Juckes       | mjuckes9@techcrunch.com            | Female      | 2004-03-23    | Philippines
  11 | Temple       | Ryson        | trysona@istockphoto.com            | Male        | 2018-07-21    | Brazil
  12 | Evaleen      | Gulleford    | egullefordb@google.ru              | Female      | 2013-07-01    | Ukraine
  14 | Rees         | Pickwell     | rpickwelld@buzzfeed.com            | Male        | 2004-11-10    | Indonesia
  18 | Jorgan       | Peealess     | jpeealessh@about.me                | Male        | 2014-04-27    | United States
  20 | Lexi         | Zimmerman    | lzimmermanj@statcounter.com        | Female      | 2010-07-22    | Norway
  21 | Corney       | Leal         | clealk@symantec.com                | Male        | 2012-10-04    | China
  22 | Donal        | Greve        | dgrevel@dailymail.co.uk            | Male        | 2015-06-05    | Poland
  23 | Conny        | Killingbeck  | ckillingbeckm@salon.com            | Female      | 2012-04-02    | Greece
  24 | Beaufort     | Bernade      | bbernaden@theatlantic.com          | Male        | 2017-05-31    | Indonesia
  25 | Weylin       | Chadburn     | wchadburno@pbs.org                 | Male        | 2013-05-13    | Ukraine
  26 | Trix         | Greenalf     | tgreenalfp@tinyurl.com             | Female      | 2016-02-19    | Croatia
  27 | Devonne      | Start        | dstartq@miibeian.gov.cn            | Female      | 2005-12-26    | Russia
  28 | Selena       | Worsfield    | sworsfieldr@businessinsider.com    | Female      | 2004-02-11    | Nigeria
  29 | West         | Annetts      | wannettss@cbslocal.com             | Male        | 2015-03-18    | Poland
  32 | Barn         | Twamley      | btwamleyv@nbcnews.com              | Male        | 2004-01-23    | China
  33 | Allin        | O'Shields    | aoshieldsw@squidoo.com             | Male        | 2013-03-22    | Poland
  35 | Kassia       | Androletti   | kandrolettiy@techcrunch.com        | Female      | 2010-07-06    | United States
  37 | Gaston       | Yanov        | gyanov10@yahoo.co.jp               | Male        | 2017-07-13    | Philippines
  38 | Gelya        | Sixsmith     | gsixsmith11@drupal.org             | Female      | 2013-12-08    | Philippines
  39 | Jenna        | Messum       | jmessum12@g.co                     | Female      | 2008-12-29    | Canada
  41 | Petr         | Male         | pmale14@berkeley.edu               | Male        | 2006-04-14    | Indonesia
  44 | Cherrita     | Tomashov     | ctomashov17@wordpress.org          | Female      | 2004-12-19    | China
  45 | Dusty        | Kedslie      | dkedslie18@163.com                 | Female      | 2011-06-01    | China
  47 | Grove        | Fairbrass    | gfairbrass1a@si.edu                | Male        | 2006-07-15    | Mexico
  49 | Gladi        | Sieghard     | gsieghard1c@tinyurl.com            | Female      | 2015-03-10    | China
  50 | Twyla        | Peake        | tpeake1d@abc.net.au                | Female      | 2017-05-11    | Sweden
  51 | Kristal      | Poleykett    | kpoleykett1e@china.com.cn          | Female      | 2016-06-21    | China
  52 | Gillian      | McCaughran   | gmccaughran1f@nhs.uk               | Polygender  | 2014-03-09    | Indonesia
  53 | Rosina       | Ewbank       | rewbank1g@istockphoto.com          | Female      | 2019-05-07    | China
  54 | Calley       | Zavattero    | czavattero1h@squarespace.com       | Female      | 2010-12-10    | Sierra Leone
  56 | Cynthea      | Hadlington   | chadlington1j@flickr.com           | Female      | 2008-10-12    | Greece
  57 | Dannel       | Stoffels     | dstoffels1k@illinois.edu           | Male        | 2013-05-29    | Brazil
  58 | Tadd         | Stronge      | tstronge1l@google.com              | Male        | 2004-06-21    | China
  60 | Kaila        | Cuncarr      | kcuncarr1n@aol.com                 | Female      | 2004-11-13    | China
  62 | Morena       | Baldacchi    | mbaldacchi1p@gmpg.org              | Female      | 2005-04-18    | Vietnam
  65 | Carmon       | Cana         | ccana1s@cisco.com                  | Female      | 2013-06-01    | China
  67 | Humfrey      | Virgoe       | hvirgoe1u@smh.com.au               | Male        | 2012-04-11    | Croatia
  70 | Arni         | O'Flaherty   | aoflaherty1x@tumblr.com            | Non-binary  | 2019-12-31    | Vietnam
  72 | Bren         | Schulke      | bschulke1z@mozilla.com             | Female      | 2011-09-28    | Russia
  73 | Katharine    | Abramow      | kabramow20@canalblog.com           | Female      | 2017-11-19    | Philippines
  74 | Phip         | Malby        | pmalby21@yahoo.co.jp               | Male        | 2018-05-16    | Philippines
  76 | Irene        | Attawell     | iattawell23@shinystat.com          | Female      | 2017-05-07    | China
  77 | Gina         | Floweth      | gfloweth24@csmonitor.com           | Female      | 2012-08-23    | South Africa
  79 | Rose         | Bartaletti   | rbartaletti26@unc.edu              | Female      | 2006-12-10    | Indonesia
  80 | Grant        | Coils        | gcoils27@vinaora.com               | Male        | 2009-08-12    | Moldova
  82 | Riordan      | Lackemann    | rlackemann29@wired.com             | Male        | 2014-09-19    | France
  83 | Myra         | Hannabuss    | mhannabuss2a@forbes.com            | Female      | 2015-03-29    | Brazil
