 id  |  first_name  |   last_name   |                 bank_name                  |   gender    |        home_address         
-----+--------------+---------------+--------------------------------------------+-------------+-----------------------------
  12 | Adelbert     | Manis         | BANK OF NEW YORK MELLON                    | Non-binary  | 0 Memorial Drive
  13 | Agace        | Torrijos      | FARMERS BANK                               | Female      | 12137 Boyd Crossing
  16 | Angel        | Leuchars      | Kathrein Privatbank Aktiengesellschaft     | Female      | 16350 Old Shore Way
   8 | Annecorinne  | Harrington    | STONEGATE BANK                             | Female      | 622 Old Shore Hill
  33 | Artair       | Parsand       | JPMORGAN CHASE                             | Male        | 4771 David Circle
  20 | Aurore       | Churchill     | PROSPERITY BANK                            | Female      | 96 Hollow Ridge Terrace
  35 | Barbara-anne | Leggin        | Volksbank eG                               | Female      | 31 Melby Court
  95 | Bastian      | Note          | Oldenburger Volksbank eG                   | Male        | 58550 Iowa Circle
  79 | Baxy         | Loxley        | BANK OF AMERICA                            | Male        | 208 Huxley Terrace
  11 | Bobbie       | Harburtson    | Volksbank Lüneburger Heide eG             | Female      | 77019 Granby Pass
   2 | Cesare       | Dawkes        | Sparkasse Hannover                         | Male        | 016 Meadow Valley Plaza
  50 | Chickie      | Crone         | KEY BANK                                   | Female      | 296 Harper Court
  96 | Christos     | Limpenny      | FRANDSEN BANK & TRUST                      | Male        | 65 Graceland Plaza
 100 | Cole         | Hegel         | BANCO POPULAR                              | Male        | 5 Leroy Junction
  42 | Cyndia       | Charleston    | mBank Hipoteczny S.A.                      | Female      | 772 Mariners Cove Hill
  41 | Cyrillus     | Lippini       | Vereinte Volksbank eG                      | Male        | 2070 Warrior Lane
   4 | Dacia        | Elven         | BRANCH BANKING & TRUST COMPANY             | Female      | 68 Graceland Place
  43 | Darcey       | Tift          | FIRST NATIONAL BANK                        | Female      | 5241 Lakewood Gardens Point
  53 | Darill       | Kilgallon     | FIRST NATIONAL BANK                        | Male        | 00 Memorial Crossing
  77 | Deanna       | Gillian       | PINNACLE BANK                              | Female      | 06 Stuart Trail
  87 | Delmore      | Heggie        | FIRST NATIONAL BANK                        | Male        | 9911 Texas Way
  37 | Derick       | Winspear      | Volksbank Klettgau-Wutöschingen eG        | Male        | 3673 Gulseth Center
  23 | Dicky        | McAsgill      | UMPQUA BANK                                | Male        | 0 Eastwood Road
